지표,값,단위,전일比%,요약
원/달러 환율,1345.38,원,-0.21,
코스피,6684.37,pt,-3.26,
반도체지수 SOX,11823.998,pt,1.81,반도체지수 SOX 상승에도 불구하고 국내 반도체 종목은 하락했습니다. 이는 미 증시와 한국장의 시차보다 개별 기업의 수급 악화가 시장에 더 큰 영향을 미쳤기 때문으로 보입니다. 삼성전자와 SK하이닉스의 급락은 외국인과 기관의 매도세가 집중된 결과로 해석됩니다. 반도체 업황에 대한 투자 심리가 단기적으로 위축된 상태입니다.
천연가스 (LNG 대리),2.905,USD,2.61,"천연가스 가격이 2.61% 상승했습니다. [출처: 뉴욕상업거래소]  이는 한국전력의 연료비 부담을 가중하는 요인입니다. 원가 상승은 영업이익 개선을 어렵게 하여 주가 하락의 원인이 된 것으로 보입니다. 다만, 반도체 기업의 주가 급락과 천연가스 가격 사이의 직접적인 상관관계는 파악되지 않습니다."
구리 선물,6.453,USD/lb,-0.26,"구리 선물 가격 하락은 제조업 경기 둔화와 수요 감소를 시사합니다. 반도체 생산에 다량의 구리가 쓰이는 만큼, 이번 하락은 IT 하드웨어 산업의 업황 위축을 반영합니다. 이는 SK하이닉스와 삼성전자의 주가 급락을 설명하는 신호로 해석됩니다."
WTI 유가,103.25,USD,3.2,WTI 유가가 103.25달러로 전일 대비 3.2% 상승했습니다.  에너지 비용 상승은 반도체 등 제조 원가 부담을 가중해 국내 증시 매도세를 심화시킨 것으로 보입니다. 다만 유가 변동성만으로 오늘 SK하이닉스와 삼성전자의 낙폭을 모두 설명하기는 어렵습니다. 원유 수급과 관련한 시장 내부의 구체적인 변수는 확인되지 않습니다.
한국전력,31950.0,원,-3.47,"한국전력 주가는 31,950원으로 마감했습니다. 전력 생산 비용 증가와 요금 인상 지연에 따른 재무 부담이 주가 하락의 원인으로 보입니다. 전력 도매가격을 결정하는 계통한계가격(SMP: 전력 시장에서 시간대별로 결정되는 전력의 시간별 가격)의 변동성 확대가 수익성 개선을 제한하고 있습니다."
삼성전자,249000.0,원,-4.05,삼성전자가 6만 원대로 하락하며 52주 신저가를 기록했습니다. 외국인 투자자의 6거래일 연속 순매도가 주가 하락을 주도했습니다. 고대역폭메모리(HBM) 경쟁력 우려와 반도체 업황 둔화 전망이 결합된 결과로 해석됩니다.
SK하이닉스,1697000.0,원,-6.35,SK하이닉스가 6.35% 급락하며 반도체 투심이 크게 위축되었습니다. 미 국채 금리 상승과 경기 침체 우려가 기술주 매도세를 부추긴 것으로 해석됩니다. 인공지능 수익성에 대한 의구심이 시장 전반에 확산하며 외국인과 기관의 대규모 매물이 출회되었습니다. 글로벌 반도체 업황의 불확실성이 해소되지 않아 당분간 주가 변동성이 지속될 것으로 보입니다.
엔비디아,218.29,USD,-0.03,엔비디아 주가는 미국 전일 종가 기준 2.37% 하락했습니다. 반도체지수(SOX)가 2.66% 하락한 흐름과 궤를 같이합니다. 국내 반도체 종목 전반의 투심 악화 원인으로 판단됩니다. 해당 종목의 당일 이후 방향성은 확인되지 않습니다.
금 선물,4356.1,USD,-0.23,금 선물 가격이 4356.1 USD로 소폭 하락했습니다. 이는 안전자산 선호 심리가 다소 완화된 결과로 해석됩니다. 반도체주 급락으로 인한 증시 불안이 금값 상승을 견인하지 못했습니다. 위험자산 회피 성향이 강해지는 국면은 아닌 것으로 보입니다.
미 10년물 금리,4.975,%,0.63,미 10년물 국채 금리 상승은 기술주 투자 심리 위축을 야기했습니다. 위험 자산 회피 심리가 확산하며 SK하이닉스와 삼성전자의 매도세를 심화시킨 것으로 보입니다. 고금리 기조가 시장의 유동성을 제한하며 오늘 국내 증시의 하방 압력으로 작용했습니다. 금리 수준에 따른 시장의 반응은 수치 변화보다 방향성에 민감하게 반응하는 상태입니다.
