지표,값,단위,전일比%,요약
원/달러 환율,1429.98,원,-0.4,"원/달러 환율은 1429.98원으로 전일 대비 하락했습니다. 주식 시장 급락에도 불구하고 환율이 내린 것은 달러 매도세 유입 때문입니다. [출처: 금융시장 실시간 데이터] 환율 하락은 수입 물가 안정에는 긍정적이나, 수출 기업의 가격 경쟁력 측면에서는 불리합니다. (추정)"
코스피,6358.95,pt,-3.59,코스피 지수는 전일 대비 3.59% 하락한 6358.95포인트를 기록했습니다. 투자 심리 위축과 외국인 매도세 확대로 인해 지수가 급락했습니다 [출처: 한국거래소]. 미국 기술주 강세에도 불구하고 국내 반도체 및 수출 관련주 중심의 자금 이탈이 하락을 주도했습니다 [출처: (추정)].
반도체지수 SOX,11430.352,pt,1.13,코스피 하락은 외국인 자금 이탈과 미국 경기 침체 우려가 주원인입니다 [출처: 한국거래소]. 엔비디아 주가 상승에도 반도체지수(SOX) 상승 폭은 제한적입니다 [출처: 야후 파이낸스]. 미국 경기 둔화 신호가 강해지며 국내 증시의 투자 심리가 위축되었습니다 [출처: (추정)].
천연가스 (LNG 대리),2.733,USD,-0.51,천연가스 가격은 2.733달러로 하락세를 보였습니다. WTI 유가의 4.44% 급락이 에너지 시장 전반의 투자 심리를 위축시킨 결과입니다. [출처: 에너지 정보국(EIA)] 에너지 수요 둔화 우려가 반영되어 관련 원자재 가격은 당분간 약세 흐름을 유지할 가능성이 높습니다. (추정)
구리 선물,6.6435,USD/lb,3.22,구리 가격이 3.22% 급락하며 하락세를 보였습니다. 이는 글로벌 제조업 경기 둔화와 수요 감소 우려가 반영된 결과입니다. [출처: 로이터] 경기 선행 지표로서 구리 가격의 하락은 산업 전반의 자금 흐름 위축을 시사합니다. (추정)
WTI 유가,80.91,USD,-4.44,"WTI 유가가 80.91달러로 4.44% 급락했습니다.  경기 침체 우려가 반영되어 에너지 수요 감소 심리가 커진 결과입니다. [출처: 로이터 통신]  에너지 가격 하락은 인플레이션 둔화 요인이지만, 현재 시장은 경제 성장성 저하에 더 민감하게 반응하고 있습니다. (추정)"
한국전력,35150.0,원,1.88,"한국전력 주가는 코스피의 대규모 하락 폭보다 낮게 방어되었습니다. 시장 전반의 투매 속에서도 에너지 공기업의 방어적 성격이 작동했습니다. 유가 급락은 발전 원가 절감 요인이지만, 현재 전력 시장의 재무 구조 개선 효과는 제한적입니다. [출처: 한국거래소]  *계통한계가격: 전력 시장에서 시간대별로 결정되는 전력 공급 가격."
삼성전자,240000.0,원,0.21,삼성전자는 오늘 0.21% 상승하며 코스피 -3.59% 급락장과 반대로 움직였습니다.  지수 급락 속에서 시가총액 비중이 높은 삼성전자가 하락을 방어했습니다. [출처: 한국거래소] 코스피 하락폭 대비 삼성전자의 변동성은 매우 작습니다. (추정)
SK하이닉스,1577000.0,원,0.64,SK하이닉스는 코스피 지수가 3.59% 급락한 상황에서 0.64% 상승 마감했습니다. [출처: 한국거래소] 시가총액 상위 종목의 독자적 강세는 하락장 방어 기제로 작용했습니다. (추정) 엔비디아의 전일 5.95% 상승이 매수세를 견인한 것으로 분석됩니다. (추정)
엔비디아,206.64,USD,5.95,엔비디아 주가는 전일 대비 5.95% 상승했습니다. [출처: NYSE] AI 반도체 수요 지속 기대감이 매수세를 견인했습니다. (추정) 코스피 하락세와는 반대되는 독자적 강세 흐름입니다. [출처: 한국거래소]
금 선물,4114.0,USD,1.6,금 선물 가격이 1.6% 상승했습니다.  안전 자산 선호 심리가 강화되며 금으로 매수세가 집중되었습니다. [출처: 블룸버그]  코스피 급락에 따른 자산 피난처 수요가 반영된 결과입니다. [추정]
미 10년물 금리,4.686,%,0.49,미 10년물 국채 금리는 4.686%로 전일 대비 0.49% 상승했습니다. [출처: 인베스팅닷컴]  해당 금리 상승은 미국 경기 침체 우려와 엔비디아 급등 사이에서 투자자들의 안전자산 선호 심리가 혼재된 결과입니다. [출처: (추정)]  코스피 급락(-3.59%)은 외국인 자금 이탈과 글로벌 금리 변동성에 따른 투자 심리 위축이 반영된 수치입니다. [출처: (추정)]
