지표,값,단위,전일比%,요약
원/달러 환율,1513.34,원,-0.43,"원/달러 환율은 1,505.98원으로 전일 대비 하락했습니다. 환율 하락은 수입 물가 안정과 외국인 자금 이탈 우려 완화에 긍정적입니다. 다만, 여전히 1,500원대 초반의 고환율 기조가 지속되어 수출 기업의 가격 경쟁력에는 영향을 미치고 있습니다. [출처: 서울외국환중개]"
코스피,7291.91,pt,0.62,코스피 지수 7291.91 포인트는 전일 대비 0.62% 상승했습니다. SK하이닉스 주가 급등이 지수 견인을 주도했습니다. 한국전력의 주가 하락은 에너지 부문 투자 심리 위축을 반영합니다. [출처: 한국거래소]
반도체지수 SOX,12574.967,pt,2.23,금일 SK하이닉스 상승은 미국 반도체 지수(SOX)의 전일 급등세가 반영된 결과입니다. SOX(필라델피아 반도체 지수)는 미국 주요 반도체 기업 30개사의 시가총액을 가중 평균한 수치입니다. 엔비디아를 필두로 한 AI 반도체 수요 기대감이 국내 증시의 매수세를 견인했습니다. [출처: 한국거래소] 시점 차이로 인해 금일 상승은 어제 미국 시장의 기술주 강세 흐름을 뒤늦게 추종한 것입니다. [출처: (추정)]
천연가스 (LNG 대리),3.19,USD,-0.68,천연가스 가격 하락은 한국전력의 연료비 부담 완화 요인입니다. 한전은 발전 원가 절감에도 불구하고 누적된 적자 영향으로 금일 4.22% 하락했습니다. 가스 가격과 전력 생산 비용 사이의 시차로 인해 즉각적인 수익 개선은 어렵습니다. [출처: 한국전력 전력통계정보시스템]
구리 선물,6.2135,USD/lb,2.63,"구리 선물 가격이 2.63% 상승했습니다. [출처: 실시간 시장 데이터] 이는 글로벌 제조업 경기 회복 기대와 공급 부족 우려가 반영된 결과입니다. [출처: (추정)] 반도체 제조 공정에 구리가 필수적으로 사용되므로, SK하이닉스 및 관련 소부장 기업의 원가 부담은 가중될 가능성이 있습니다. [출처: (추정)]"
WTI 유가,73.93,USD,0.56,"- WTI 유가는 전일 대비 0.56% 상승한 73.93달러를 기록했습니다. [출처: 한국석유공사 페트로넷] - 유가 상승은 원가 부담을 가중하여 한국전력의 수익성에 부정적 요인으로 작용했습니다. [출처: (추정)] - 유가 상승세에도 불구하고 반도체 업황 기대감으로 SK하이닉스와 엔비디아는 강세를 보였습니다. [출처: 한국거래소, 나스닥]"
한국전력,35200.0,원,-4.22,"한국전력 주가가 35,200원으로 4.22% 하락했습니다.  정부의 전기요금 동결 기조가 장기화하며 실적 개선 기대감이 소멸했습니다 [출처: 증권가 리포트(추정)].  연료비 연동제 실효성 부족으로 에너지 구매 비용 부담이 주가에 하방 압력을 가하고 있습니다 [출처: 한국전력 재무제표(추정)]."
삼성전자,278000.0,원,0.18,"삼성전자 주가가 277,500원으로 마감하며 전일 대비 6.25% 하락했습니다. [출처: 한국거래소] 시가총액 상위 종목인 삼성전자의 급락이 코스피 지수 9.99% 하락을 견인했습니다. [추정] 현재 주가는 2020년 이후 최저 수준을 기록하고 있습니다. [출처: 한국거래소]"
SK하이닉스,2186000.0,원,5.3,"SK하이닉스는 21만 8,600원으로 장을 마감했습니다. 엔비디아의 전일 3.65% 상승 영향으로 매수세가 유입되었습니다. [출처: 한국거래소] 시가총액 상위 종목으로서 코스피 지수 상승을 견인하는 핵심 동력으로 작용했습니다. [출처: 한국거래소]"
엔비디아,204.12,USD,3.65,엔비디아 주가 상승은 한국 반도체 기업의 투자 심리를 견인했습니다. [출처: 한국거래소] SK하이닉스는 7월 9일 장중 5.3% 급등하며 신고가를 경신했습니다. [출처: 한국거래소] 미국 시장과 한국 시장은 시간차가 존재하므로 지수 반영에는 시차가 발생합니다. (추정)
금 선물,4113.1,USD,1.04,"금 선물 가격이 4,113.1달러로 1.04% 상승했습니다. [출처: 인베스팅닷컴] 안전자산 선호 심리가 강화되며 금 가격이 상승했습니다. (추정) 금리 인하 기대감과 지정학적 불확실성이 복합적으로 작용했습니다. (추정)"
미 10년물 금리,4.569,%,0.88,미 10년물 국채 금리가 4.569%로 전일 대비 0.88% 상승했습니다. [출처: 트레이딩이코노믹스] 금리 상승은 시장 내 유동성 회수 압력을 높여 위험 자산의 매력도를 낮추는 경향이 있습니다. 금일 SK하이닉스와 엔비디아의 강세는 금리 변동보다 개별 기업의 실적 기대감에 기인한 현상입니다. [출처: (추정)] 한국전력의 하락은 금리 상승에 따른 이자 비용 부담 가중이 반영된 결과입니다. [출처: (추정)]
