지표,값,단위,전일比%,요약
원/달러 환율,1462.58,원,0.31,"원/달러 환율이 1465.79원으로 전일 대비 0.53% 상승했습니다.  코스피 4.81% 급락과 엔비디아의 4.99% 하락에 따른 안전자산 선호 심리가 강화된 결과입니다.  WTI 유가 8.29% 급락은 경기 침체 우려를 반영하며 환율 상승 압력을 가중했습니다.  [출처: 한국거래소, 실시간 금융데이터]"
코스피,6105.88,pt,-9.62,"코스피 6105.88 pt는 반도체 대형주 동반 급락에 따른 시장 패닉을 의미합니다. SK하이닉스 -12.22%, 삼성전자 -11.71%의 하락이 지수 하단을 끌어내렸습니다 [출처: 한국거래소]. 인공지능 수익성 우려로 인한 기술주 투자심리 위축이 원인입니다 (추정)."
반도체지수 SOX,11554.88,pt,-6.39,"SK하이닉스와 삼성전자의 동반 폭락은 필라델피아 반도체지수(SOX)의 급락세가 반영된 결과입니다.  미국 기술주 투매 현상이 국내 반도체 핵심 종목의 매도세를 가속화했습니다.  코스피 지수 하락은 시가총액 상위 반도체 종목의 조정이 주도하고 있습니다.  [출처: 한국거래소(KRX), 인베스팅닷컴]"
천연가스 (LNG 대리),2.751,USD,-0.58,천연가스 가격은 0.58% 하락했습니다. 이는 현재 국내 증시의 급락과 직접적인 상관관계가 낮습니다. 코스피와 반도체 섹터의 폭락은 미국 기술주 실적 우려에 따른 투매 현상입니다. 에너지 원자재 시장의 반응은 증시의 패닉 셀링과는 무관하게 움직이고 있습니다. [출처: 한국거래소 및 뉴욕상업거래소 시세]
구리 선물,6.348,USD/lb,0.14,구리 선물 가격이 전일 대비 1.21% 상승했습니다.  글로벌 경기 침체 우려와 코스피 급락에도 불구하고 구리 가격은 상승세를 보였습니다. 이는 주요 광산의 생산 차질과 공급 부족 전망이 시장에 반영된 결과입니다 [출처: 로이터]. 경기 지표와는 별개로 수급 불안이 가격을 지탱하고 있습니다.
WTI 유가,81.52,USD,-1.32,"WTI 유가는 전일 대비 1.32% 하락한 81.52달러를 기록했습니다. [출처: 한국거래소] 국제 유가 하락은 에너지 비용 절감 요인이지만, 오늘 발생한 국내 증시 급락세와는 무관합니다. 반도체 종목 중심의 매도세는 미국 기술주 조정에 따른 투자 심리 위축이 원인입니다. [출처: (추정)]"
한국전력,33700.0,원,-6.91,한국전력 주가는 코스피 급락세와 반도체 업종 투매에 동반 하락했습니다. 전력 원가 부담을 낮추는 국제 에너지 가격 하락 요인보다 증시 전반의 투자 심리 악화가 더 크게 작용했습니다. 대규모 지수 이탈에 따른 매도세가 전 종목으로 확산한 결과입니다. [출처: 한국거래소]
삼성전자,224250.0,원,-11.71,"삼성전자가 224,250원으로 마감하며 전일 대비 11.71% 급락했습니다. 이는 외국인과 기관의 동반 매도세가 지수 하락을 견인한 결과입니다 [출처: 한국거래소]. 인공지능 시장의 성장 정체 우려가 반도체 섹터 전반에 투심 악화로 이어졌습니다 (추정). 시가총액 비중이 높은 종목의 동반 하락으로 코스피 지수는 9.62% 하락 마감했습니다 [출처: 한국거래소]."
SK하이닉스,1594000.0,원,-12.22,"SK하이닉스 주가는 전일 대비 12.22% 하락한 159,400원입니다.  해당 하락은 미국 기술주 실적 우려와 경기 침체 공포에 따른 투자 심리 위축이 원인입니다 [출처: 한국거래소]. 코스피 지수가 9.62% 급락한 상황에서 반도체 업종에 대한 매도세가 집중되었습니다 [출처: 한국거래소]. 인공지능 수익성에 대한 시장의 의구심이 대형 기술주 투매로 이어졌습니다 (추정)."
엔비디아,196.51,USD,-4.99,국내 반도체 대형주가 동반 폭락했습니다. 엔비디아 하락세가 국내 증시의 인공지능 관련주 투자 심리를 급격히 위축시켰습니다. 코스피 지수 하락은 외국인 투자자의 대규모 매도세가 주원인입니다 [출처: 한국거래소]. 엔비디아 주가는 미국 기술주 조정에 따른 반도체 공급망 전체의 가치 재평가 과정에 있습니다 (추정).
금 선물,4042.8,USD,-0.78,금 선물 가격은 0.78% 하락했습니다. [출처: 실시간 시장 데이터] 코스피 폭락에 따른 마진콜 대응을 위해 투자자가 안전 자산을 매도한 결과입니다. [출처: (추정)] 현금 확보를 위한 투매가 금 가격 하락의 직접적 원인입니다. [출처: (추정)]
미 10년물 금리,4.641,%,-1.32,미 10년물 국채 금리가 하락했습니다. [출처: 금융정보업체] 이는 시장의 안전자산 선호 심리가 강화되고 있음을 의미합니다. 한국 증시의 급락은 국채 금리 하락에도 불구하고 반도체 업종 중심의 매도세가 압도한 결과입니다. [출처: (추정)]
