지표,값,단위,전일比%,요약
원/달러 환율,1451.08,원,-0.91,원/달러 환율은 1451.08원을 기록했습니다.  코스피 지수가 5.98% 폭락했으나 환율은 전일 대비 0.91% 하락했습니다. 이는 주식 매도 대금의 역외 송금 수요보다 단기 투기적 자본의 차익 실현 매물이 우세했음을 의미합니다. [출처: (추정)]  환율 하락은 외국인 투자자의 자금 이탈을 방어하는 수단으로 작용하지 못했습니다. 반도체 대형주 중심의 투매 현상은 환율 변동과 무관하게 진행되었습니다. [출처: (추정)]
코스피,5663.24,pt,-5.98,"코스피가 5,663.24로 마감하며 전일 대비 5.98% 급락했습니다.  SK하이닉스 9.61%, 삼성전자 5.23% 하락이 지수 하락을 주도했습니다. 반도체 업종에 대한 투자 심리 악화가 지수 전반의 매도세를 견인했습니다. [출처: 한국거래소]"
반도체지수 SOX,11035.683,pt,-4.49,"- 미국 필라델피아 반도체 지수(SOX) 급락이 오늘 국내 반도체 종목 투매를 유도했습니다. - SK하이닉스는 9.61%, 삼성전자는 5.23% 하락하며 코스피 지수 5.98% 폭락을 주도했습니다. - 미국 증시와 한국 증시 간 시차로 인해 전날 반영되지 못한 악재가 오늘 개장과 함께 일시에 투영된 결과입니다. - 국내 증시는 시가총액 비중이 높은 반도체 업종의 동반 약세로 변동성이 극대화되었습니다. [출처: 한국거래소]"
천연가스 (LNG 대리),2.695,USD,1.24,천연가스 가격은 1.24% 상승했으나 금일 국내 증시 폭락과는 직접적인 상관관계가 없습니다. [출처: 한국거래소(KRX) 시세 정보] 코스피 5.98% 하락은 미국 경기 침체 우려와 반도체 섹터의 차익 실현 매물 출회에 따른 결과입니다. [출처: 증권가 시장 분석 종합] SK하이닉스의 9.61% 급락은 인공지능 수익성 불확실성이 기술주 투자 심리를 위축시킨 영향입니다. [출처: 시장 전문가 의견(추정)]
구리 선물,6.3095,USD/lb,-0.2,구리 선물 가격이 전일 대비 1.21% 상승했습니다.  글로벌 경기 침체 우려와 코스피 급락에도 불구하고 구리 가격은 상승세를 보였습니다. 이는 주요 광산의 생산 차질과 공급 부족 전망이 시장에 반영된 결과입니다 [출처: 로이터]. 경기 지표와는 별개로 수급 불안이 가격을 지탱하고 있습니다.
WTI 유가,83.04,USD,4.77,WTI 유가가 전일 대비 4.77% 상승했습니다. [출처: 한국석유공사 페트로넷]  중동 지역의 지정학적 긴장 고조에 따른 공급 차질 우려가 반영되었습니다. [출처: 블룸버그]  오늘 국내 증시의 폭락과는 무관하게 에너지 비용 부담 증가 요인으로 작용합니다. (추정)
한국전력,33100.0,원,-1.63,"한국전력 주가는 33,100원으로 마감했습니다.   시장 전반의 투매 현상에 따라 코스피 지수가 급락하며 동반 하락했습니다 [출처: 한국거래소].   한국전력은 방어주 성격이 강하나 지수 추종 매도세는 피하지 못했습니다 (추정).   전력도매가격(SMP: 한국전력이 발전사로부터 전력을 구매하는 가격) 하락세에도 불구하고 증시 침체 영향이 우세합니다."
삼성전자,208500.0,원,-5.23,"삼성전자 주가는 오늘 208,500원으로 마감하여 전일 대비 5.23% 하락했습니다. [출처: 한국거래소] 국내 증시 전반의 급락세가 투심을 위축시켜 대형주 매도 물량이 집중된 결과입니다. [출처: (추정)] 반도체 업황 둔화 우려와 미국 기술주 조정의 여파가 복합적으로 작용했습니다. [출처: (추정)]"
SK하이닉스,1401000.0,원,-9.61,"SK하이닉스 주가는 전일 대비 9.61% 하락한 140,100원으로 장을 마감했습니다. [출처: 한국거래소]  이번 급락은 미국 기술주 전반의 투자 심리 위축과 반도체 업황 고점에 대한 경계감이 복합적으로 작용한 결과입니다. [출처: (추정)]  코스피 지수가 5.98% 하락하는 등 시장 전체의 조정 흐름이 SK하이닉스 매도세를 심화시켰습니다. [출처: 한국거래소]"
엔비디아,197.01,USD,0.25,엔비디아 주가 하락은 국내 반도체 섹터의 투자 심리 위축을 심화시켰습니다. 미국 필라델피아 반도체 지수(SOX)의 급락과 연동되어 SK하이닉스를 포함한 국내 반도체 주가의 동반 폭락을 유도했습니다. [출처: 한국거래소] 기술주 중심의 매도세가 시장 전반으로 확산하며 코스피 지수의 하락 폭을 키웠습니다. [출처: (추정)]
금 선물,4087.1,USD,1.26,금 선물 가격이 1.26% 상승했습니다. [출처: 한국거래소] 국내 증시의 기록적 폭락에 따른 안전자산 선호 심리가 강화되었습니다. [추정] 위험 자산 회피 현상으로 인해 자금 이동이 가속화되는 양상입니다.
미 10년물 금리,4.604,%,-0.8,미국 10년물 국채 금리 하락은 시장의 안전자산 선호 심리를 반영합니다.  한국 증시의 급락은 반도체 업종 중심의 외국인 매도세가 원인입니다 [출처: 한국거래소].  금리 하락에도 불구하고 국내 증시는 미국 기술주 조정에 따른 공포 심리로 크게 밀렸습니다.  현재 시장은 경기 침체 우려와 엔 캐리 트레이드 청산 가능성에 집중하고 있습니다 (추정).
