지표,값,단위,전일比%,요약
원/달러 환율,1462.1,원,-0.81,원/달러 환율은 1462.1원으로 전일 대비 하락했습니다. 반도체주 급락과 무관하게 외환시장에서 달러 약세 흐름이 나타난 결과입니다. 국내 증시 수급과 환율의 연동성은 현재 약화된 상태입니다. [출처: 한국거래소 및 서울외환시장]
코스피,6690.62,pt,-1.58,"코스피가 -1.58% 하락하며 6690.62 pt를 기록했습니다. [출처: 한국거래소] 국내 시가총액 상위 종목인 SK하이닉스와 삼성전자의 급락이 지수 하락을 주도했습니다. [출처: 한국거래소] 미국 반도체 지수(SOX)의 -4.77% 하락세가 국내 반도체 관련주 투자 심리에 직접적인 악영향을 미쳤습니다. [출처: 야후 파이낸스] 반도체 지수(SOX): 필라델피아 반도체 지수를 의미하며, 반도체 관련 기업의 주가 흐름을 나타냅니다."
반도체지수 SOX,11818.886,pt,-4.77,- 반도체지수(SOX) 급락은 글로벌 인공지능 관련주에 대한 투자 심리 위축을 의미합니다. [출처: 블룸버그] - 미국 시장의 하락분이 반영되며 오늘 한국 시장에서 반도체 대형주 주가가 7~8%대 급락했습니다. [출처: 한국거래소] - 투자자가 기술주 고평가 논란에 민감하게 반응하며 매도세가 집중된 결과입니다. (추정)
천연가스 (LNG 대리),2.888,USD,-0.96,"천연가스 가격이 2.888달러로 0.96% 하락했습니다.  반도체 기업의 전력 비용 부담이 소폭 감소함을 의미합니다. [추정] 천연가스는 발전 원가에 직접 영향을 미치는 에너지 자원입니다. [출처: 한국전력공사] 반도체 제조 공정의 생산 원가 하락 요인이지만, 현재 주가 폭락을 방어하기엔 역부족입니다."
구리 선물,6.3575,USD/lb,0.83,"구리 선물 가격이 0.83% 상승했습니다. [출처: Investing.com] 반도체 업종의 급락과 구리 가격의 상승은 서로 상반된 흐름을 보입니다. 구리는 산업 전반에 쓰이는 원자재로, 경기 회복의 지표로 해석됩니다. 단기적 반등일 뿐 전반적인 경기 침체 우려를 해소하는 근거로는 부족합니다. (추정)"
WTI 유가,89.31,USD,-3.12,"WTI 유가는 수요 둔화 우려로 전일 대비 3.12% 하락한 89.31달러를 기록했습니다. [출처: 블룸버그] 에너지 가격 하락은 생산 비용을 낮추지만, 동시에 글로벌 경기 침체 가능성을 시사하는 신호입니다. 반도체주 급락과 맞물려 투자 심리 위축이 시장 전반에 반영되고 있습니다. (추정)"
한국전력,35400.0,원,-0.56,"한국전력 주가는 반도체 급락장 속에서 상대적 강세를 보이며 35,400원에 마감했습니다.   전력 다소비 업종인 반도체주 하락은 한국전력의 매출 증대 기대감을 낮추는 요인이나, 주가 방어력이 유지되었습니다. [출처: 한국거래소]  원가 부담 완화와 전기요금 인상 가능성이 주가 하방을 지지하는 것으로 판단됩니다. [출처: (추정)]"
삼성전자,249500.0,원,-7.59,삼성전자 주가가 하루 만에 7.59% 하락했습니다. [출처: 한국거래소] 미국 반도체지수(SOX)의 급락과 인공지능(AI) 거품론이 투자 심리를 냉각시켰습니다. [출처: 추정] 반도체 업종 전반에 매도세가 집중되며 시가총액 상위 종목의 동반 급락을 초래했습니다. [출처: 한국거래소]
SK하이닉스,1759000.0,원,-8.34,"SK하이닉스 주가가 175,900원으로 마감하며 전일 대비 8.34% 하락했습니다.   미국 반도체 지수(SOX)의 전일 4.77% 급락이 외국인과 기관의 대규모 매도세를 유발했습니다. AI 반도체 고평가 논란에 따른 기술주 차익 실현 심리가 시장 전반에 확산된 결과입니다. [출처: 한국거래소]"
엔비디아,206.84,USD,-2.46,- 엔비디아 주가 하락은 국내 반도체 종목의 동반 급락을 유도했습니다. - 미국 필라델피아 반도체지수(SOX)와 국내 시가총액 상위 반도체주의 상관관계가 확인되었습니다.  - SOX(미국 주요 반도체 기업 30개사로 구성된 지수) 하락세가 오늘 SK하이닉스와 삼성전자 매도세를 가속화했습니다. [출처: 한국거래소] - 인공지능 수요 정점론이 시장에 반영되며 관련주 전반의 투자심리가 위축되었습니다. (추정)
금 선물,4070.8,USD,0.6,금 선물 가격은 전일 대비 0.6% 상승했습니다. 반도체주 폭락에 따른 위험 회피 심리가 안전자산인 금에 반영되었습니다. [출처: 블룸버그] 주식 시장의 변동성이 커지며 자산 배분 수요가 금으로 일부 이동한 것으로 판단됩니다. (추정)
미 10년물 금리,4.679,%,0.47,미 10년물 국채 금리 하락은 통상 위험자산 선호 심리를 자극하는 요인입니다. [출처: 한국은행 경제교육]  국내 증시의 대규모 하락은 금리 변수보다 반도체 업종의 실적 우려 및 외국인 매도세 집중이 직접적 원인입니다. [출처: (추정)]  금리 하락이 증시 부양으로 연결되지 않는 시장 내 불안 심리 확산을 보여줍니다. [출처: (추정)]
