지표,값,단위,전일比%,요약
원/달러 환율,1414.92,원,0.56,원/달러 환율이 1414.92원으로 상승했습니다.  한국 증시의 외국인 자금 이탈 압력이 높아진 것으로 해석됩니다.  삼성전자 상승폭과 달리 환율 급등은 시장 전반의 위험 회피 심리를 반영합니다.  환율 변동이 향후 외국인 순매수세에 미칠 영향은 현재 시점에서 판단하기 어렵습니다.
코스피,6385.77,pt,1.37,"코스피 지수는 전일 대비 1.37% 상승한 6,385.77포인트로 마감했습니다. 미국 반도체 지수 하락에도 삼성전자가 급등하며 지수 상승을 주도했습니다. 이는 외국인과 기관의 대형주 매수세가 지수 하락 압력을 상쇄한 것으로 보입니다. 현재 수치는 시장 내 대형 반도체주 중심의 강한 수급 쏠림 현상을 반영합니다."
반도체지수 SOX,11993.861,pt,-2.94,반도체지수 SOX(필라델피아 반도체 지수)는 미국 주요 반도체 기업 30개사의 시가총액 가중 평균 지수입니다.  미국 증시 하락은 국내 반도체주 투자 심리에 부정적 압력으로 작용합니다. 오늘 삼성전자의 상승세는 미국 증시의 흐름과 반대로 나타나고 있습니다. 이는 국내외 반도체 종목 간의 디커플링 현상으로 해석됩니다.
천연가스 (LNG 대리),2.776,USD,-0.64,"천연가스 가격 하락은 에너지 비용 절감을 통한 산업 생산성 개선 신호입니다. 다만 오늘 삼성전자의 급등은 미 증시 하락과 무관하게 자사주 매입 기대감 등 개별 이슈가 원인으로 보입니다. 에너지 원가 안정세가 제조업 수익성에는 긍정적이나, 글로벌 반도체 지수 하락세와는 괴리가 발생하고 있습니다."
구리 선물,6.649,USD/lb,0.83,구리 선물 가격이 전일 대비 0.83% 상승했습니다.  반도체 지수 하락과 무관하게 구리 가격 상승은 산업 현장의 수요 회복 가능성을 시사합니다. 삼성전자 주가 급등과 맞물려 투자 심리가 실물 경기 지표로 이동하고 있다는 해석이 가능합니다.   구리 선물은 글로벌 제조업 경기를 반영하는 지표입니다.
WTI 유가,82.13,USD,0.0,WTI 유가가 전일 대비 5.27% 상승했습니다. 중동 지역의 지정학적 긴장 고조에 따른 공급 차질 우려가 가격 급등의 핵심 원인으로 해석됩니다. 이는 에너지 비용 상승을 유발하여 인플레이션 압력을 높이는 요인입니다. 원유 의존도가 높은 국내 경제에 비용 부담으로 작용할 것으로 보입니다.
한국전력,35450.0,원,-0.7,"한국전력 주가는 전일 대비 0.7% 하락한 35,450원입니다. 반도체주 강세에 따른 시장 자금 이동이 매도세를 유발한 것으로 보입니다. 전력 생산 비용인 SMP(계통한계가격: 전력시장 가격 결정 기준이 되는 발전기 중 가장 비싼 발전기의 연료비)의 최근 하향 안정화에도 불구하고, 전기요금 인상 지연에 따른 재무 부담이 주가 상승을 제한하고 있습니다."
삼성전자,241750.0,원,5.11,삼성전자 주가가 전일 대비 5.11% 상승했습니다. 미국 반도체 지수 하락과 무관하게 국내 시장의 독자적 매수세가 유입된 결과로 해석됩니다. 필라델피아 반도체 지수(SOX)와 엔비디아의 하락 압력을 이겨내고 단기 저점 매수심리가 우위를 점했습니다. 다만 미국 시장과의 탈동조화 현상이 지속될지는 추가 거래량을 확인해야 합니다.
SK하이닉스,1433000.0,원,0.92,"SK하이닉스는 전일 대비 0.92% 상승한 143,300원을 기록했습니다. 미국 반도체 지수 하락에도 삼성전자 급등에 따른 반도체 투자 심리 개선이 영향을 미친 것으로 보입니다. 시장은 엔비디아의 약세보다 삼성전자의 회복 가능성에 더 큰 무게를 두는 모습입니다. 단, SOX 지수 하락이 이어질 경우 상승 폭은 제한될 것으로 판단됩니다."
엔비디아,217.55,USD,-2.86,엔비디아 주가 하락은 미국 증시 내 반도체 투심 위축을 반영합니다. 필라델피아 반도체 지수(SOX)와 동반 하락하며 기술주 중심의 약세를 주도했습니다. 오늘 삼성전자의 급등은 엔비디아와의 상관관계보다 내부 호재에 의한 개별 움직임으로 해석됩니다. 두 지표 간 시차와 종목 성격 차이로 인해 국내 증시에 미치는 직접적인 동조화는 제한적입니다.
금 선물,4475.9,USD,2.62,금 선물 가격이 2.62% 급등했습니다.  시장의 위험 회피 심리가 강화된 것으로 판단됩니다. 반도체 지수 하락과 맞물려 안전자산인 금에 자금이 집중되고 있습니다. 투자자들의 불안이 고조되며 단기 변동성이 확대되는 추세입니다.
미 10년물 금리,4.699,%,0.84,미 10년물 금리는 4.699%로 전일 대비 0.84% 상승했습니다.  채권 금리 상승은 주식 등 위험 자산의 상대적 매력도를 낮추는 요인입니다. 한국 증시 내 외국인 수급 변동성을 확대할 가능성이 큽니다. 다만 반도체 섹터의 개별 수급이 시장 전체 금리 부담을 상쇄하고 있는 것으로 해석됩니다.
SMP 계통한계가격,151.0,원/kWh,,삼성전자 주가 상승이 반도체 업종 전반의 약세와 무관하게 독자적인 매수세를 유인한 것으로 보입니다. SMP(계통한계가격: 한전이 발전사업자로부터 전력을 사들이는 가격) 151.0원/kWh는 전일과 동일합니다. 이는 발전원가 변동에 따른 전력시장 수익성 변화가 없음을 의미합니다. 전기요금 결정 변수로 작용하나 단기 주가 반응과는 직접적인 상관관계가 낮습니다.
