지표,값,단위,전일比%,요약
원/달러 환율,1381.24,원,-0.59,원/달러 환율이 하락하며 원화 가치가 소폭 상승했습니다. 외국인 투자자의 자금 유입이 반도체 대형주 중심의 상승세를 견인하고 있습니다. 환율 하락은 수입 물가 안정에 기여할 것으로 보입니다. 금리 인하 기대감이 반영된 시장 심리가 환율 하락의 주된 원인으로 분석됩니다.
코스피,6912.05,pt,0.87,코스피는 전일 대비 0.87% 상승한 6912.05 pt를 기록했습니다. SK하이닉스와 삼성전자의 동반 강세가 지수 상단을 견인했습니다. 반도체 업종 중심의 매수세가 시장 전반의 투자 심리를 개선한 것으로 풀이됩니다. 금 선물 가격의 급등은 시장 내 안전자산 선호 심리가 상존함을 나타냅니다.
반도체지수 SOX,11800.019,pt,0.53,"SOX 지수 상승은 국내 반도체 종목의 투자 심리를 자극하는 요인으로 해석됩니다. SK하이닉스와 삼성전자의 상승세는 해당 지수 흐름과 동조된 결과로 보입니다. 다만 지수 변동폭이 1% 미만으로 제한적이어서, 오늘 장중 급격한 상승 동력으로 작용하기에는 한계가 있습니다. SOX는 필라델피아 반도체 지수로 미국 증시에 상장된 주요 반도체 기업 30개 종목의 주가를 종합한 지표입니다."
천연가스 (LNG 대리),2.767,USD,-1.67,천연가스 가격 하락은 에너지 비용 절감 신호입니다. 이는 제조 원가 부담을 낮추어 국내 반도체 기업의 수익성 개선을 뒷받침하는 요인으로 보입니다. 반면 에너지 관련주에는 하방 압력으로 작용할 가능성이 큽니다.
구리 선물,6.536,USD/lb,0.75,구리 선물 가격이 전일 대비 0.75% 상승했습니다. 반도체 관련주인 SK하이닉스와 삼성전자의 동반 상승세가 산업용 원자재인 구리 수요 증가 기대감과 맞물린 것으로 해석됩니다. 구리는 전기차와 AI 데이터센터 등 첨단 산업의 핵심 소재이기에 경기 회복 신호로 읽히는 경향이 있습니다. 현재 시장은 반도체 중심의 기술주 투심이 원자재 시장으로 일부 확산하고 있다고 판단됩니다.
WTI 유가,86.47,USD,0.75,WTI 유가가 전일 대비 0.75% 상승한 86.47달러를 기록했습니다.   이는 글로벌 공급 차질 우려가 반영된 결과로 해석됩니다. 유가 상승은 운송비와 제조 원가 부담을 높여 기업 이익을 축소하는 요인이 될 수 있습니다. 다만 현재 한국 증시 내 반도체 주도의 상승세에 미치는 영향은 제한적인 것으로 보입니다.
한국전력,31250.0,원,-1.73,"한국전력 주가는 전일 대비 1.73% 하락한 31,250원을 기록했습니다. 금리 인하 기대감으로 인한 시장 전체의 반등 흐름에도 불구하고 역행하는 모양새입니다. 이는 누적된 적자로 인한 재무 리스크가 반등 압력을 상쇄하는 원인으로 보입니다. 전력판매 수익성 개선 여부가 향후 주가 향방을 결정할 핵심 지표입니다. [출처: 한국거래소]"
삼성전자,279000.0,원,2.95,"삼성전자 주가는 전일 대비 2.95% 상승한 79,000원으로 거래 중입니다. 반도체 업황 개선 기대감이 매수세를 견인한 결과로 분석됩니다. 엔비디아의 실적 발표를 앞두고 시장의 기술주 투자 심리가 회복된 것으로 보입니다. 다만 금 선물 급등이 안전자산 선호 현상을 자극할 경우, 향후 장중 변동성은 커질 수 있습니다."
SK하이닉스,1753000.0,원,3.67,SK하이닉스 주가는 전일 대비 3.67% 상승했습니다. [출처: 한국거래소] 미국 엔비디아의 실적 발표를 앞두고 반도체 업황 개선 기대감이 반영된 결과입니다. AI 수요 급증에 따른 고대역폭메모리(HBM) 공급 부족 현상이 주가 상승을 견인하는 것으로 보입니다. 전일 미국 증시 내 기술주 강세가 국내 반도체 종목으로 매수세를 확산시킨 상황입니다.
엔비디아,216.85,USD,-0.33,엔비디아 주가는 하락 마감했습니다.  한국 반도체 대형주 상승세와는 괴리가 발생했습니다.  미국 시장의 차익 실현 매물이 우세했던 것으로 해석됩니다.  금리 인하 기대감에 따른 안전자산 선호 심리가 금값 상승을 견인한 것으로 보입니다.
금 선물,4589.9,USD,2.24,"금 선물 가격이 2.24% 상승하여 온스당 4,589.9달러를 기록했습니다. 이는 시장 내 안전자산 선호 심리가 강화되었음을 시사합니다. 인플레이션 우려와 지정학적 불확실성이 복합적으로 작용한 결과로 해석됩니다. 경기 침체 가능성에 대비한 자금 흐름이 금 시장으로 집중되고 있습니다."
미 10년물 금리,4.696,%,0.92,미 10년물 국채 금리 상승은 시장의 위험 자산 선호 심리를 위축시킵니다. 상승세가 지속될 경우 국내 증시 내 외국인 자금 이탈 압력이 커질 것으로 보입니다. 현재 삼성전자와 SK하이닉스의 상승은 금리 영향보다 반도체 업황에 대한 개별 기대감이 강하게 반영된 결과로 해석됩니다.
SMP 계통한계가격,147.21,원/kWh,,SK하이닉스와 삼성전자 주가 상승이 반도체 전력 소비 급증을 반영합니다. 계통한계가격(SMP): 한국전력이 발전 사업자에게 지급하는 전력 도매가격. 전력 수요 확대가 이어지며 SMP가 140원대 후반에서 고착화하는 양상입니다. 에너지 비용 부담 증가는 반도체 제조 기업의 수익성 개선 속도를 늦추는 요인으로 보입니다.
