지표,값,단위,전일比%,요약
원/달러 환율,1371.5,원,-0.65,원/달러 환율이 1371.5원으로 하락했습니다. 이는 외국인 투자자의 자금 이탈 압력이 전일 대비 완화되었음을 의미합니다. 다만 SK하이닉스의 급락은 환율 하락 효과보다 반도체 업황 우려가 시장에 더 크게 작용했음을 보여줍니다. 환율과 주가의 동조화 현상이 약화된 상태로 판단됩니다.
코스피,6788.88,pt,-0.28,"코스피는 6788.88로 장을 마감하며 소폭 하락했습니다. SK하이닉스의 급락이 반도체 섹터 전반의 투자 심리를 위축시킨 결과로 해석됩니다. 엔비디아의 상승세가 있었으나, 한국 증시 내 실적 우려가 이를 상쇄하며 지수 하락을 주도했습니다."
반도체지수 SOX,11469.662,pt,-1.22,"SOX 지수 하락은 오늘 SK하이닉스 주가 하락의 주요 원인으로 해석됩니다. 미국 필라델피아 반도체 지수(SOX): 반도체 설계, 제조, 유통 관련 주요 기업 30개의 주가를 합산한 지표입니다. 엔비디아의 어제 상승에도 불구하고 지수 전체가 조정을 받은 결과, 국내 반도체 종목 투자 심리가 위축된 것으로 판단됩니다."
천연가스 (LNG 대리),2.888,USD,1.62,천연가스 가격이 1.62% 상승했습니다. [출처: ICE]  이 수치는 한국전력의 연료비 부담을 가중하는 요인입니다. 최근의 한전 주가 하락은 실적 부진 우려가 반영된 결과로 해석됩니다. 천연가스 가격 상승세가 지속될 경우 에너지 비용 상승에 따른 추가적인 주가 압박이 예상됩니다.
구리 선물,6.659,USD/lb,0.98,"구리 선물 가격이 0.98% 상승하며 상승세를 유지했습니다. SK하이닉스 등 반도체 중심의 국내 증시 급락과 달리 글로벌 원자재 시장은 견조한 흐름을 보입니다. 이는 산업 현장의 구리 수요가 여전히 유효하다는 신호로 해석됩니다. 다만, 국내 증시의 하락폭과 괴리가 커 추가적인 방향성은 확인이 필요합니다."
WTI 유가,83.4,USD,1.42,WTI 유가가 전일 대비 1.42% 상승했습니다. 이는 리비아의 원유 생산 및 수출 중단으로 인한 공급 차질 우려가 반영된 결과로 풀이됩니다. 유가 상승은 원자재 수입 비중이 높은 국내 제조 기업의 비용 부담을 가중할 것으로 보입니다. 에너지 수급 불안이 지속될 경우 인플레이션 압력으로 이어질 가능성이 있습니다.
한국전력,32550.0,원,-4.12,"한국전력 주가가 32,550원으로 마감했습니다.  전일 대비 4.12% 하락하며 전력 판매 수익성 악화 우려가 반영된 결과로 보입니다. 전력도매가격(SMP, 전력시장가격에 따라 발전사업자가 판매하는 전력 가격)이 낮은 수준을 유지했으나, 주가 하락은 전기요금 인상 지연에 따른 재무 부담 가중이 원인으로 해석됩니다."
삼성전자,257000.0,원,-3.38,"삼성전자 주가가 257,000원으로 3.38% 하락했습니다. [출처: 한국거래소] 엔비디아의 상승세에도 불구하고 SK하이닉스의 동반 급락이 투자 심리를 냉각시킨 결과로 보입니다. 반도체 업황의 불확실성이 시장 전반에 반영되었습니다."
SK하이닉스,1653000.0,원,-4.45,"SK하이닉스 주가는 전일 대비 4.45% 하락한 165,300원으로 마감했습니다.  엔비디아의 어제 상승분보다 차익 실현 매물이 시장에 더 강하게 작용했습니다.  반도체 업황의 불확실성에 대한 투자자들의 경계 심리가 반영된 결과로 보입니다.  추가적인 하락 요인은 현재 확인되지 않습니다."
엔비디아,217.55,USD,3.76,"엔비디아 주가는 전 거래일 대비 3.76% 상승했습니다. 반도체 업황의 불확실성이 해소되며 투자 심리가 일부 개선된 결과로 해석됩니다. 다만 한국 시장의 SK하이닉스 하락폭을 고려할 때, 국내 반도체 종목과의 연동성은 낮아진 상태로 판단됩니다."
금 선물,4529.9,USD,-1.49,금 선물 가격이 전일 대비 1.49% 하락했습니다. 미국 증시 내 기술주 강세와 위험자산 선호 심리가 금의 안전자산 수요를 낮춘 결과로 분석됩니다. 실질금리 상승 가능성이 금 매도세를 자극한 것으로 보입니다. 시장의 불확실성이 해소되는 구간에서 나타나는 전형적인 자산 이동입니다.
미 10년물 금리,4.72,%,1.2,미 10년물 국채 금리 상승은 안전 자산 선호 심리를 강화해 증시 투자 매력을 낮춥니다. 오늘 한국 증시에서 SK하이닉스 등 기술주가 하락한 주요 원인으로 작용했습니다. 국채 금리 4.72%는 위험 자산의 할인율을 높여 기업의 미래 가치 평가를 보수적으로 변화시켰습니다.
SMP 계통한계가격,145.67,원/kWh,,SK하이닉스 주가 하락과 SMP 수치 간 직접적인 상관관계는 없습니다.  SMP(계통한계가격): 전력 시장에서 시간대별로 결정되는 전력의 도매 가격입니다. 금일 SMP 145.67원/kWh는 한국전력의 전력 구입 비용을 압박하는 수준입니다.  이는 한국전력의 영업 적자 폭을 확대하는 원인으로 해석됩니다.
