지표,값,단위,전일比%,요약
원/달러 환율,1351.1,원,-0.32,원/달러 환율이 1351.1원으로 하락 마감했습니다.  미국 고용 지표 둔화에 따른 금리 인하 기대감이 달러 약세로 이어졌습니다. 환율 하락은 외국인 투자자의 매수 심리를 자극하여 반도체 중심의 국내 증시 상승을 견인했습니다. 이외의 변수는 확인되지 않습니다.
코스피,6687.21,pt,1.64,코스피가 전일 대비 1.64% 상승했습니다. 미국 필라델피아 반도체 지수(SOX)의 급등이 국내 반도체 대형주를 견인한 결과입니다. 외국인과 기관의 동반 순매수가 지수 상승의 주된 원인으로 해석됩니다. 다만 오늘 종가와 미국 지수는 시점이 달라 즉각적인 연동으로 보기는 어렵습니다.
반도체지수 SOX,11735.263,pt,3.37,반도체지수 SOX가 3.37% 상승하며 국내 반도체주 투자심리를 회복시켰습니다. [출처: 인베스팅닷컴] 삼성전자와 SK하이닉스의 오늘 상승은 전날 미국 시장에서의 반도체주 강세가 반영된 결과입니다. 다만 미국 지수는 어젯밤 종가이며 오늘 한국 장의 실시간 변동과는 시점 차이가 존재합니다. 지수 상승의 구체적인 원인이나 향후 지속 여부는 현재 데이터만으로는 판단하기 어렵습니다.
천연가스 (LNG 대리),2.975,USD,2.13,천연가스 가격은 전일 대비 2.13% 상승했습니다. [출처: 뉴욕상업거래소(NYMEX)] 에너지 비용 증가가 전기요금 인상 압박으로 이어질 가능성을 시사합니다. 산업용 전력 소비 비중이 높은 반도체 기업의 생산 원가 부담 요인이 될 수 있습니다.
구리 선물,6.6825,USD/lb,1.6,구리 선물 가격이 1.6% 상승했습니다. 경기 회복 기대감이 반영된 결과로 보입니다. 반도체 주가 상승과 맞물려 산업 수요 증가 가능성을 시사합니다. 다만 경기 둔화 우려가 여전하여 지속적인 상승 여부는 불확실합니다.
WTI 유가,91.48,USD,0.2,WTI 유가는 91.48달러로 소폭 상승했습니다.  에너지 비용 부담 가중으로 인해 인플레이션 압력이 지속될 것으로 해석됩니다.  유가 상승세는 제조 원가 상승을 유발하여 증시의 상단 제한 요인으로 작용할 전망입니다.
한국전력,32150.0,원,-0.92,"한국전력 주가는 32,150원으로 마감했습니다. 전날 대비 0.92% 하락하며 전반적인 시장 흐름과 달리 약세를 보였습니다. 이는 전기요금 인상 시점에 대한 불확실성이 지속되는 상황이 주가에 하방 압력으로 작용했기 때문입니다. 누적된 영업적자 해소 계획이 구체화하지 않은 점도 투자 심리를 위축시키는 원인으로 분석됩니다."
삼성전자,255500.0,원,2.2,
SK하이닉스,1647000.0,원,3.2,"SK하이닉스가 164,700원으로 장을 마감했습니다. 미국 필라델피아 반도체지수의 3.37% 상승이 국내 투자 심리에 긍정적 영향을 미쳤습니다. 반도체 업황 개선 기대가 주가 회복을 이끈 것으로 해석됩니다. 다만, 이것이 추세적 반등인지 일시적 현상인지는 현재 데이터만으로 판단할 수 없습니다."
엔비디아,230.36,USD,0.84,엔비디아 주가는 전일 대비 0.84% 상승하며 마감했습니다.  미국 필라델피아 반도체 지수의 전일 급등세가 오늘 한국 반도체 기업들의 주가 상승을 견인했습니다.  SK하이닉스와 삼성전자의 반등은 엔비디아 중심의 AI 공급망 수요 기대감이 반영된 결과로 풀이됩니다.  엔비디아의 현 주가가 국내 반도체 주가의 추가 상승 동력으로 작용할지는 다음 주 미국 시장의 흐름을 확인해야 합니다.
금 선물,4476.6,USD,-0.34,금 선물 가격이 0.34% 하락했습니다. 이는 위험 자산인 주식 시장으로 투자 심리가 이동했음을 의미합니다. 안전 자산 선호가 줄어들며 금 매도세가 나타난 것으로 보입니다. 금 가격 하락과 반도체 주가 상승은 시장 내 위험 선호 심리가 강화된 결과입니다.
미 10년물 금리,4.784,%,0.46,미국 10년물 국채 금리가 4.784%로 상승했습니다. 금리 상승은 통상 위험자산인 반도체 종목의 투자 매력을 낮추는 요인입니다. 그럼에도 오늘 국내 반도체주가 동반 상승한 것은 미 반도체지수(SOX) 급등에 따른 기술적 반등 영향으로 해석됩니다. 거시 경제 지표와 개별 섹터의 흐름이 반대로 움직이고 있습니다.
SMP 계통한계가격,145.75,원/kWh,,SMP 계통한계가격 145.75원/kWh로 보합 마감했습니다. *SMP(계통한계가격): 전력시장에서 결정되는 시간대별 전력도매가격. 에너지원별 연료비 변동이 적어 가격 유지로 해석됩니다. 반도체 등 대형 전력 소비 업종의 생산 원가 부담은 어제와 동일합니다.
