지표,값,단위,전일比%,요약
원/달러 환율,1358.69,원,1.04,원/달러 환율이 1358.69원으로 상승했습니다. [출처: 서울외국환중개] 환율 상승은 수입 물가 부담을 가중하며 국내 증시의 외국인 투자자 이탈 요인으로 작용할 가능성이 큽니다. 유가와 천연가스 가격 동반 상승이 원화 약세 압력을 높인 것으로 분석됩니다.
코스피,6627.26,pt,-0.85,코스피는 6627.26 pt로 전일 대비 0.85% 하락했습니다.   유가와 천연가스 등 에너지 가격 상승이 인플레이션 우려를 자극하며 투자 심리를 위축시킨 결과로 해석됩니다. 한국전력의 주가 하락은 에너지 원가 부담이 가중된 데 따른 반응으로 판단됩니다. 지수 하락의 구체적인 원인별 비중은 현재 자료로 파악할 수 없습니다.
반도체지수 SOX,11245.115,pt,1.02,"반도체지수 SOX가 1.02% 상승하며 마감했습니다.  해당 수치는 미국 내 주요 반도체 기업의 시가총액 가중평균값입니다.  지수 상승은 국내 반도체 관련주에 대한 투자 심리 개선으로 이어질 가능성이 높습니다.  다만 한국장은 미국장과 시점이 다르므로, 해당 수치가 오늘 국내 증시에 즉각 반영되지는 않습니다."
천연가스 (LNG 대리),2.946,USD,1.73,천연가스 가격이 1.73% 상승했습니다. 에너지 비용 증가로 인한 발전 원가 부담이 가중될 것으로 보입니다. 전력 생산 비용이 오르면 한국전력의 재무 구조 개선 시점은 지연될 가능성이 큽니다.
구리 선물,6.429,USD/lb,1.56,"구리 선물 가격이 1.56% 상승했습니다.  중국 경기 부양책에 대한 시장의 기대감이 반영된 결과로 해석됩니다.  산업용 금속 수요 회복 신호로 읽히며, 이는 원자재 시장 전반의 투자 심리 개선을 견인하고 있습니다."
WTI 유가,103.63,USD,2.21,WTI 유가가 103.63달러로 상승했습니다.  에너지 비용 상승이 국내 제조업의 원가 부담을 가중할 것으로 보입니다. 한국전력의 주가 하락은 연료비 상승에 따른 적자 확대 우려가 반영된 결과로 해석됩니다. 에너지 가격 오름세가 인플레이션 압력을 다시 키우는 형국입니다.
한국전력,31350.0,원,-1.88,"한국전력 주가는 31,350원으로 전일 대비 1.88% 하락했습니다. 유가 및 천연가스 가격 상승으로 인한 원가 부담 가중이 매도세를 부추긴 것으로 해석됩니다. 발전 원가 상승은 한전의 영업 이익 개선을 저해하는 핵심 요인입니다. 향후 요금 인상 없이는 재무구조 개선이 어려울 것으로 보입니다."
삼성전자,248500.0,원,-0.2,"삼성전자 주가는 전일 대비 0.2% 하락한 248,500원을 기록했습니다. [출처: 한국거래소]  글로벌 유가와 천연가스 가격 상승세에도 불구하고, 반도체 업황에 대한 투자 심리가 위축된 결과로 해석됩니다. 한국전력의 주가 약세와 연동하여 시장 내 대형주 전반의 조정 압력이 거셌던 것으로 보입니다."
SK하이닉스,1690000.0,원,-0.41,"SK하이닉스 주가는 전일 대비 0.41% 하락한 16만 9,000원에 마감했습니다. 글로벌 반도체 지수인 SOX지수의 최근 하락세가 투자 심리를 위축시킨 결과로 보입니다. 전력난으로 인한 한국전력의 주가 약세가 전력 다소비 업종인 반도체 기업의 비용 부담 우려를 자극한 것으로 해석됩니다."
엔비디아,213.365,USD,1.14,엔비디아 주가는 미국 직전 거래일 대비 1.14% 상승한 213.365달러에 마감되었습니다. 이는 국내 반도체 관련 종목의 투자 심리에 긍정적 변수로 작용할 가능성이 있습니다. 다만 오늘 한국장은 이미 마감된 상태이므로 해당 상승분이 국내 증시에 즉각 반영되지는 않습니다. 차주 월요일 국내 증시 개장 시 반도체 섹터의 시초가 형성 과정에서 영향력이 나타날 것으로 판단됩니다.
금 선물,4327.5,USD,-0.56,
미 10년물 금리,5.002,%,0.83,미국 10년물 국채 금리가 5%를 돌파했습니다. 이는 안전자산 선호 심리가 강화되며 주식 시장의 밸류에이션 부담이 커졌음을 의미합니다. 국채 금리 상승은 기업의 자본 조달 비용을 높여 성장주와 고배당주에 하방 압력으로 작용할 것으로 보입니다.
