지표,값,단위,전일比%,요약
원/달러 환율,1365.39,원,-0.6,원/달러 환율이 전일 대비 0.6% 하락하며 1365.39원으로 마감했습니다.  미국 반도체 지수 급등에 따른 위험자산 선호 심리가 원화 강세를 유도한 것으로 풀이됩니다.  전일 대비 하락한 환율은 수입 물가 부담을 낮추는 요인으로 작용합니다.
코스피,7080.92,pt,1.04,코스피가 7080.92포인트로 전일 대비 1.04% 상승 마감했습니다.  미국 반도체지수(SOX)의 급등이 국내 관련 종목으로 온기가 퍼진 결과로 해석됩니다.  WTI 유가 하락으로 인한 인플레이션 우려 완화가 투자 심리에 긍정적 영향을 미쳤습니다.
반도체지수 SOX,12689.82,pt,6.44,"반도체지수 SOX가 6.44% 급등하며 기술주 투자 심리가 회복되었습니다. 이는 마이크론의 실적 기대감과 인공지능 수요 지속에 따른 결과로 해석됩니다. 시장의 위험 자산 선호 심리가 강화되면서 국내 반도체 관련주의 반등을 견인했습니다. 다만, 금리 인상 기조가 유지되는 상황에서 해당 상승세가 장기 추세로 이어질지는 불확실합니다."
천연가스 (LNG 대리),3.166,USD,6.78,천연가스 가격이 3.166달러로 6.78% 상승했습니다. 난방 수요 증가와 중동 지정학적 긴장으로 인한 공급 차질 우려가 반영된 결과로 보입니다. 최근 거래량 증가가 동반된 점은 가격 상승 압력이 지속될 가능성을 시사합니다. 향후 재고량 발표 수치에 따라 단기 변동성이 확대될 것으로 판단됩니다.
구리 선물,6.833,USD/lb,1.09,구리 가격은 1.09% 상승하여 6.833 USD/lb를 기록했습니다. 산업 현장의 경기 회복 기대감이 매수세를 견인한 것으로 해석됩니다. 반도체 지수 급등과 맞물려 글로벌 제조업 경기의 반등 신호로 풀이됩니다. 현재 수급 상황은 모릅니다.
WTI 유가,89.81,USD,-5.05,WTI 유가가 전일 대비 5.05% 하락하여 89.81달러를 기록했습니다.  공급 과잉 우려와 글로벌 경기 침체 가능성이 유가 하락을 이끈 것으로 보입니다. 에너지 비용 감소로 인플레이션 압력이 완화될 것으로 해석됩니다. 정유업종의 수익성 개선에는 부정적 영향을 미칠 것으로 예상됩니다.
한국전력,30250.0,원,-1.94,한국전력 주가는 전일 대비 1.94% 하락했습니다.  천연가스 가격 급등에 따른 연료비 부담 가중 우려가 주가 하락의 원인으로 보입니다.  한전의 수익 구조는 연료비 상승에 즉각적으로 반응하는 구조입니다.  현재 주가 수준에서의 추가 하락 요인이나 매수세 유입 여부는 불확실합니다.
삼성전자,285500.0,원,3.25,삼성전자는 6거래일 만에 반등하며 6만 원대 중반으로 마감했습니다.   미국 필라델피아 반도체지수(SOX)가 전일 6.44% 급등한 영향이 매수세를 견인한 것으로 풀이됩니다. 다만 최근 하락 폭을 고려하면 본격적인 추세 전환으로 보기는 어렵습니다. 외국인과 기관의 순매수 유입 여부가 향후 주가 방향성을 결정할 핵심 변수입니다.
SK하이닉스,1862000.0,원,1.2,"SK하이닉스는 186,200원으로 1.2% 상승 마감했습니다.  미국 SOX 지수의 6.44% 급등에도 불구하고 상승 폭이 제한된 모습입니다. 국내 증시의 전반적인 투자 심리 위축과 외국인 매도세가 상단 압박으로 작용했습니다. 기술적 반등세는 확인되나 시장 주도력을 완전히 회복하지 못한 것으로 판단됩니다."
엔비디아,228.87,USD,2.97,엔비디아 주가는 전일 대비 2.97% 상승했습니다. 반도체지수(SOX)가 6.44% 급등하며 시장 전반의 매수 심리를 견인한 결과입니다. 이는 인공지능 수요에 대한 시장의 신뢰가 강화된 것으로 해석됩니다. 다만 상승 폭은 반도체지수 대비 낮아 개별 종목 차원의 조정 흐름이 섞인 것으로 보입니다.
금 선물,4358.0,USD,-0.42,금 선물 가격은 0.42% 하락했습니다.  안전 자산 선호 심리가 약해지며 위험 자산인 주식 시장으로 자금이 이동한 결과로 해석됩니다.  반도체 지수 상승에 따른 투자 심리 회복이 금 수요를 낮춘 원인으로 보입니다.  금값 하락과 반도체 지수 급등이 서로 역의 상관관계를 보인 오늘입니다.
미 10년물 금리,4.968,%,-0.6,미 10년물 금리가 4.968%로 하락하며 주식 시장의 투자 심리를 개선했습니다. 국채 금리 하락은 기업의 자본 조달 비용 부담을 낮춰 나스닥과 SOX 등 기술주 중심의 상승을 유도한 것으로 판단됩니다. 단기적인 금리 안정세가 유지될지는 미국 연방준비제도의 통화 정책 방향성에 달려 있습니다.
SMP 계통한계가격,96.94,원/kWh,,SMP(계통한계가격)는 전력시장에서 가장 비싸게 거래된 발전기의 연료비 기준 가격입니다. 96.94원/kWh 수준은 화석연료 가격 하락세가 반영된 결과로 보입니다. 최근 WTI 유가와 천연가스 가격의 변동성이 엇갈리며 전력 도매가격에 하방 압력을 가하는 것으로 해석됩니다. 구체적인 전일 대비 변동폭은 시장 자료 누락으로 인해 알 수 없습니다.
