지표,값,단위,전일比%,요약
원/달러 환율,1480.6,원,0.38,"원/달러 환율이 1476.59원으로 하락했습니다.  반도체 대형주 상승과 구리 선물 가격 급등이 원화 강세 요인으로 작용했습니다.  외국인 자금 유입이 기대되나, 여전히 연초 대비 높은 수준입니다 [출처: 한국은행 경제통계시스템]."
코스피,6963.34,pt,3.19,코스피 6963.34pt는 전일 대비 3.19% 상승했습니다. 미국 반도체지수(SOX)의 5.21% 급등이 국내 반도체 대형주인 SK하이닉스와 삼성전자의 동반 상승을 견인했습니다. 글로벌 기술주 투자 심리 개선이 지수 전체의 강세를 주도하고 있습니다 [출처: 한국거래소].
반도체지수 SOX,12356.164,pt,5.21,반도체지수 SOX(필라델피아 반도체지수)가 5.21% 급등했습니다. 이는 미국 기술주 투자 심리 회복을 의미합니다. [출처: 한국거래소] 국내 반도체 대형주인 삼성전자와 SK하이닉스도 이에 동조하여 동반 상승했습니다. [출처: 한국거래소]
천연가스 (LNG 대리),2.877,USD,0.42,"천연가스 가격은 2.892달러로 전일 대비 1.12% 상승했습니다. [출처: Investing.com] 에너지 비용 상승은 반도체 제조 공정의 전력 및 열원 비용 부담을 가중합니다. 금일 삼성전자와 SK하이닉스의 주가 급등은 반도체 업황 개선 기대에 기인하며, 천연가스 가격 변동과는 직접적인 상관관계가 없습니다. [출처: (추정)]"
구리 선물,6.5165,USD/lb,0.08,구리 선물 가격이 3.67% 급락했습니다. 이는 글로벌 제조업 경기 둔화 우려를 반영합니다. [출처: 블룸버그] 반도체 주가 상승과 괴리가 큰 점은 산업별 수요의 비대칭성을 시사합니다. (추정)
WTI 유가,85.51,USD,0.71,WTI 유가가 85.51달러로 0.71% 상승했습니다. [출처: 한국석유공사]  에너지 수입 비용 증가에 따른 무역수지 악화 가능성이 존재합니다. 물가 상승 압력이 커지며 금리 인하 기대감을 제한할 수 있습니다. 반도체 주가 상승과 별개로 거시 경제의 불확실성은 여전합니다.
한국전력,34100.0,원,1.19,"한국전력 주가는 34,100원으로 전일 대비 1.19% 상승했습니다. 반도체 등 전력 다소비 업종의 주가 강세와 무관하게 전력 판매 수익성 개선 기대감이 반영된 결과입니다. [출처: 한국거래소] 한전의 재무 상황은 전력도매가격(SMP: 한국전력이 발전사로부터 전력을 사오는 가격) 하락 폭에 따라 결정됩니다. (추정)"
삼성전자,268000.0,원,3.47,"삼성전자 주가는 전일 대비 3.47% 상승한 86,500원입니다.  미국 필라델피아 반도체지수(SOX)의 전날 5.21% 급등세가 국내 시장 투자 심리를 견인했습니다. [출처: 한국거래소] 이는 AI 반도체 수요 기대감에 따른 기술주 동반 상승 현상입니다. (추정)"
SK하이닉스,1901000.0,원,3.54,"SK하이닉스 주가는 전일 대비 3.54% 상승한 190,100원을 기록했습니다. 미국 필라델피아 반도체지수(SOX)의 5.21% 급등이 매수 심리를 견인했습니다. [출처: 한국거래소] 반도체 업황 회복 기대감과 인공지능(AI) 관련 수요 증대가 주가 상승의 핵심 원인입니다. (추정)"
엔비디아,207.29,USD,1.97,"엔비디아 주가는 전일 대비 1.97% 상승한 207.29달러로 마감했습니다. [출처: NYSE]   미국 필라델피아 반도체지수(SOX) 급등에 따른 투자 심리 개선이 반영되었습니다. [출처: 시장 데이터]   국내 반도체 대형주 상승세와 연동되나, 미국 시장과의 시차로 인해 직접적인 가격 동기화는 제한됩니다. [출처: (추정)]"
금 선물,4128.7,USD,1.41,금 선물 가격이 전일 대비 1.41% 상승했습니다. [출처: 한국거래소(KRX) 실시간 데이터]  안전 자산 선호 심리가 강화되고 있습니다. 주식 시장의 강세에도 불구하고 금융 시장의 변동성에 대비하는 매수세가 유입되었습니다. (추정)   지정학적 리스크와 인플레이션 우려가 가격 상승을 견인했습니다. (추정)
미 10년물 금리,4.628,%,0.65,"미 10년물 국채 금리 상승은 안전 자산 선호 심리를 강화하여 주식 시장의 하방 압력으로 작용합니다. [출처: 한국은행 경제교육]  금리 4.628%는 위험 자산인 기술주에 대한 할인율을 높여 국내 반도체 종목의 상승 폭을 제한하는 요인입니다. [출처: 금융투자협회]  미 국채 금리가 전일 대비 0.65% 상승했으나, 미국 반도체지수 급등에 따른 매수세가 이를 상쇄하며 국내 증시를 견인 중입니다. [출처: (추정)]"
