지표,값,단위,전일比%,요약
원/달러 환율,1487.46,원,0.58,- 원/달러 환율 1487.46원은 국내 증시 급락에 따른 안전자산 선호 심리를 반영합니다. [출처: 한국은행 경제통계시스템] - 환율 상승은 외국인 투자자의 자금 이탈을 가속화하며 코스피 하락폭을 키웠습니다. [추정] - 반도체 투매 현상으로 인한 증시 불안이 외환 시장의 원화 약세를 압박하고 있습니다. [추정]
코스피,6820.6,pt,-6.37,"코스피 지수가 6820.6포인트로 전일 대비 6.37% 급락했습니다.  반도체 업황 둔화 우려로 SK하이닉스 -11.53%, 삼성전자 -8.77%를 기록하며 지수 하락을 주도했습니다.  국내 반도체 대장주에 대한 외국인과 기관의 매도세가 집중된 결과입니다. [출처: 한국거래소]"
반도체지수 SOX,11673.889,pt,-1.63,- 반도체지수(SOX) 하락은 글로벌 반도체 업황 둔화 우려를 반영합니다. - 국내 반도체주 급락은 SOX 약세와 동조화된 결과입니다. [출처: 한국거래소] - 현 시점의 한국 증시와 SOX는 시차로 인해 직접적인 당일 상관관계가 낮습니다. [전역 상태]
천연가스 (LNG 대리),2.911,USD,1.85,천연가스 가격이 1.85% 상승했습니다. [출처: 에너지 정보국] 한국 증시 급락과 직접적인 상관관계는 확인되지 않습니다.  SK하이닉스와 삼성전자의 하락은 미국 반도체 지수 하락에 따른 투매 현상입니다. [추정]
구리 선물,6.265,USD/lb,-0.49,- 구리 선물 가격 하락은 제조업 경기 둔화 우려를 반영합니다. [출처: LME 자료] - 구리는 산업용 금속으로 경기 선행 지표 역할을 합니다. (추정) - 국내 반도체 종목 급락과 동반된 하락은 글로벌 경기 침체 심리를 강화합니다. (추정)
WTI 유가,81.78,USD,3.58,WTI 유가가 전일 대비 3.58% 급등했습니다. 글로벌 경기 침체 우려와 반도체 섹터의 투매로 인한 증시 급락과는 반대되는 흐름입니다. 유가 상승은 원가 부담을 가중하여 인플레이션 재점화와 금리 인하 지연 가능성을 시사합니다. [출처: 한국석유공사 오피넷]
한국전력,34050.0,원,0.44,한국전력 주가는 코스피 급등세와 반대로 하락 마감했습니다.  반도체 대형주로 수급이 쏠리며 경기 방어주이자 유틸리티 업종인 한국전력의 매력도가 상대적으로 낮아졌습니다. [출처: 한국거래소] 전력망 확충 및 전기요금 인상 이슈가 여전하나 금일 시장 내 상승 동력을 얻지 못했습니다. (추정)
삼성전자,255000.0,원,-8.77,삼성전자가 하루 만에 -8.77% 급락하며 시가총액 155조 원이 증발했습니다. [출처: 한국거래소] 반도체 업황 고점 논란과 글로벌 기술주 조정 여파가 투매를 유도했습니다. [출처: (추정)] 코스피 하락의 직접적 원인으로 작용하며 지수 전체를 견인했습니다. [출처: 한국거래소]
SK하이닉스,1842000.0,원,-11.53,"SK하이닉스 주가는 오늘 184,200원으로 마감했습니다.  전일 대비 11.53% 급락하며 코스피 지수 하락의 주된 원인이 되었습니다. [출처: 한국거래소] 미국 기술주 약세와 반도체 업황 고점 논란이 투자 심리에 즉각 반영된 결과입니다. (추정)"
엔비디아,202.81,USD,-2.21,"- SK하이닉스와 삼성전자의 급락은 미국 AI 반도체 수요 둔화 우려와 연동되었습니다. [출처: 한국거래소] - 엔비디아 주가는 하락세이나, 한국 반도체 대형주의 낙폭은 엔비디아 하락률을 크게 상회합니다. [출처: 시장 데이터] - 이번 하락은 글로벌 AI 투자 과열에 대한 시장의 경계감이 실적 기대치를 하향 조정하며 발생했습니다. (추정)"
금 선물,4018.8,USD,0.83,금 선물이 0.83% 상승하며 4018.8달러를 기록했습니다. [출처: 금융정보업체 인베스팅닷컴] 오늘 코스피가 6.37% 급락하는 등 국내 증시에서 자금이 이탈하여 안전 자산인 금으로 일부 쏠렸습니다. 주식 시장의 공포가 확산하며 위험 회피 심리가 강화된 상태입니다.
미 10년물 금리,4.541,%,-0.61,미국 10년물 국채 금리 하락은 시장 내 안전자산 선호 심리가 강화되었음을 의미합니다. 다만 오늘 국내 증시의 급락은 금리 변동보다는 반도체 섹터의 실적 우려와 투심 위축에 따른 결과입니다. 국채 금리 하락이 지수 방어를 이끌지 못할 만큼 하방 압력이 거셉니다. [출처: 한국거래소]
