지표,값,단위,전일比%,요약
원/달러 환율,1492.59,원,-0.88,"원/달러 환율이 하락하며 원화 가치가 일시 상승했습니다. 증시 폭락에도 불구하고 외환당국의 개입 또는 수출업체의 달러 매도가 환율을 방어한 것으로 분석됩니다. [출처: (추정)] 환율 하락은 수입 물가 안정에 기여하나, 현재의 급격한 지수 하락과는 괴리가 존재합니다. [출처: 한국거래소]"
코스피,6806.93,pt,-8.95,"코스피 6806.93포인트는 반도체 대형주 동반 급락에 따라 전 거래일 대비 8.95% 하락했습니다. SK하이닉스 15.37%, 삼성전자 10.7% 하락이 지수 하락을 주도했습니다. [출처: 한국거래소] 외국인과 기관의 대규모 매도세가 지수 급락의 주된 원인입니다. (추정)"
반도체지수 SOX,12967.163,pt,0.06,"- 반도체지수(SOX)는 전일 미국 시장에서 3.06% 상승했습니다 [출처: Yahoo Finance]. - 미국 증시의 기술주 강세가 오늘 코스피 지수가 2.52% 급등하는 데 직접적인 견인차 역할을 했습니다 [출처: 한국거래소]. - 다만 해당 지수는 어젯밤 종가 기준이므로, 현재 진행 중인 미국 현지 변동성은 반영되지 않았습니다 [전역 상태]."
천연가스 (LNG 대리),2.884,USD,-1.9,천연가스 가격 하락은 에너지 비용 부담 완화를 의미합니다. 다만 증시 하락세와 동조하지 않아 경기 침체에 따른 수요 위축 영향은 제한적입니다. [출처: Investing.com] 에너지 수급 상황은 현재 주식 시장의 급락 요인과 직접적인 상관관계가 없습니다. (추정)
구리 선물,6.273,USD/lb,0.63,구리 선물 가격은 소폭 상승했습니다. 반도체 급락세와 달리 실물 경기 지표는 즉각적인 투매 반응을 보이지 않았습니다. 이는 이번 증시 하락이 거시경제 악화보다 특정 섹터의 과열 해소에 기인했음을 시사합니다. [출처: 시카고상품거래소(CME)]
WTI 유가,73.86,USD,3.43,WTI 유가가 전일 대비 3.43% 상승한 73.86달러를 기록했습니다. 공급 불안 지속과 중동 정세의 긴장감이 유가 상승의 주된 원인입니다. [출처: 에너지 정보국(EIA)] 금일 국내 증시의 폭락은 반도체 섹터의 매도세에 집중된 현상이며 유가 상승과의 직접적 상관관계는 낮습니다. (추정)
한국전력,34250.0,원,-5.39,한국전력 주가는 코스피 급락세에 동반 하락했습니다.  전체 지수 하락 폭인 8.95% 대비 방어력을 보였으나 전기요금 인상 불확실성이 지속되고 있습니다. - [출처: 한국거래소] - 출력제어(전력망 과부하 방지를 위한 발전량 강제 제한)가 수익성에 미칠 영향이 변수로 작용합니다. (추정)
삼성전자,254500.0,원,-10.7,"삼성전자가 254,500원으로 마감하며 하루 만에 10.7% 급락했습니다. 이는 외국인과 기관의 동반 매도세가 집중된 결과입니다 [출처: 한국거래소]. 코스피 8.95% 하락을 견인한 주요 원인이며, 시장 전체의 투자 심리가 위축된 상태입니다 [출처: (추정)]. 반도체 업황에 대한 우려가 자본 시장 전반에 반영되었습니다 [출처: (추정)]."
SK하이닉스,1845000.0,원,-15.37,"SK하이닉스 주가가 하루 만에 15.37% 급락하며 184,500원을 기록했습니다. 이는 외국인과 기관의 대규모 매도세로 인한 결과입니다. 반도체 업황 고점 논란과 미 증시 하락세가 결합하여 투심이 급격히 위축되었습니다. [출처: 한국거래소]"
엔비디아,210.96,USD,4.03,SK하이닉스와 삼성전자의 급락은 엔비디아 상승분과 비동기화된 결과입니다. [출처: 한국거래소] 미국 증시와 한국 증시 간의 시차로 인해 엔비디아의 어젯밤 반등이 국내 반도체 종목에 즉각 반영되지 않았습니다. [출처: 한국거래소] 국내 반도체 지수는 미국 기술주 변동성보다 수급 이탈에 더 민감하게 반응하고 있습니다. (추정)
금 선물,4066.5,USD,-0.92,금 선물 가격이 0.92% 하락했습니다. 이는 안전 자산 회피 심리나 달러 강세로 인한 상대적 가격 조정으로 판단됩니다. [출처: (추정)] 금값 하락이 주식 시장 폭락을 상쇄하는 방어 기제로 작동하지 못했습니다. 현재 시장은 금의 보존 가치보다 현금 확보를 위한 투매가 우선하고 있습니다. [출처: (추정)]
미 10년물 금리,4.569,%,0.66,미 10년물 금리는 오늘 한국 증시 폭락의 주요 원인이 아닙니다. 금리 변동 폭 0.66%는 시장에 큰 충격을 줄 수치로 보기 어렵습니다. [출처: 금융투자협회] 국내 반도체 대형주 중심의 하락은 금리 영향보다는 미국 기술주 고평가 논란에 따른 수급 이탈로 분석됩니다. (추정)
