지표,값,단위,전일比%,요약
원/달러 환율,1382.82,원,-0.16,원/달러 환율은 전일 대비 0.53% 하락한 1383.43원을 기록했습니다.  지수 하락과 반도체 대형주 급락에도 환율은 동반 하락했습니다. 이는 외국인 투자자의 자금 이탈이 환율 상승을 견인할 만큼 강력하지 않았음을 시사합니다. 전반적인 달러 약세 흐름이 국내 시장의 하방 압력을 일부 상쇄한 것으로 해석됩니다.
코스피,6547.47,pt,-2.23,코스피 지수는 반도체 업종 전반의 매도세 확대로 2.23% 하락했습니다. 엔비디아 등 미국 기술주 부진이 국내 반도체 대형주 투심을 악화시킨 결과로 해석됩니다. 현재 시장은 하반기 반도체 업황에 대한 우려를 선반영하며 변동성을 키우고 있습니다.
반도체지수 SOX,11423.169,pt,-2.7,미국 필라델피아 반도체 지수(SOX) 하락이 국내 반도체주 투매를 유도했습니다. 엔비디아 등 미국 주요 기술주의 전날 약세가 오늘 한국 장중 SK하이닉스와 삼성전자의 동반 급락으로 이어졌습니다. 시장은 미국 AI 산업의 성장 둔화 우려가 한국 반도체 공급망의 수익성 악화로 전이되는 과정으로 해석하고 있습니다. 현재 시점에서는 매수 심리 위축이 지수 하락의 주원인으로 보입니다.
천연가스 (LNG 대리),2.812,USD,1.08,천연가스 가격은 1.08% 상승한 2.812 USD를 기록했습니다. 반도체 제조 공정의 냉각 및 정밀 제어에 필요한 전력 비용 상승 압력으로 해석됩니다. 다만 현재 반도체 하락 폭에 비해 가스 가격 변동폭이 작아 직접적 상관관계는 낮습니다. [출처: Investing.com]
구리 선물,6.585,USD/lb,-0.21,구리 선물 가격이 하락했습니다. 이는 제조업 수요 둔화 우려를 나타내는 것으로 보입니다. 반도체 및 산업용 소재의 원자재 가격 하락은 IT 업종의 투자 심리에 부정적인 영향을 미칩니다. 금일 반도체 대형주 중심의 하락세와 궤를 같이하는 움직임입니다.
WTI 유가,85.27,USD,0.31,WTI 유가는 85.27달러로 전일 대비 0.31% 상승했습니다. 반도체주 약세와 달리 에너지 가격 상승은 인플레이션 압력을 자극하는 요인입니다. 이는 시장의 금리 인하 기대감에 부정적 영향을 줄 것으로 보입니다. 현재 유가 변동이 국내 주식시장에 미칠 구체적인 파급 효과는 명확히 알 수 없습니다.
한국전력,32100.0,원,1.9,"한국전력 주가는 전일 대비 1.9% 상승한 32,100원을 기록했습니다. 글로벌 에너지 가격 변동에 따른 전기요금 현실화 기대감이 주가 상승을 견인한 것으로 해석됩니다. 반면 반도체 대형주 중심의 지수 하락이 시장 투심을 억제하며 상승 폭을 제한하고 있습니다. 향후 연료비 연동제 적용 여부가 수익성 개선의 핵심 변수로 작용할 전망입니다."
삼성전자,250000.0,원,-2.72,삼성전자 주가가 7만 5천 원 선을 하회했습니다. 반도체 업황 둔화 우려로 엔비디아와 SK하이닉스가 동반 하락한 결과입니다. 외국인과 기관의 매도세가 집중되며 지수 하락을 주도한 것으로 해석됩니다.
SK하이닉스,1593000.0,원,-4.67,"SK하이닉스 주가는 전일 대비 4.67% 하락한 159,300원을 기록했습니다. 미국 엔비디아의 주가 하락과 반도체 업황 둔화 우려가 반영된 결과로 해석됩니다. 시장 전반의 투자 심리 위축이 대형주 중심의 매도세로 이어졌습니다. [출처: 한국거래소]"
엔비디아,208.48,USD,-2.91,엔비디아 주가 하락은 국내 반도체 대형주 동반 급락의 직접적 원인입니다. SK하이닉스와 삼성전자는 엔비디아의 실적 전망과 연동되는 고대역폭 메모리(HBM) 수요 둔화 우려로 매도세가 집중되었습니다. 국내 증시의 기술주 비중이 높아 미국 반도체 지수 변동성에 대한 민감도가 극대화된 상태입니다.
금 선물,4692.2,USD,1.11,금 선물 가격이 전일 대비 1.11% 상승했습니다. 반도체 대형주 하락에 따른 시장의 위험 회피 심리가 반영된 결과로 판단됩니다. 안전 자산인 금에 자금이 집중되는 현상입니다. 금리 인하 기대감이 선반영된 점도 상승의 원인으로 보입니다.
미 10년물 금리,4.704,%,-0.72,"미 10년물 금리가 하락했습니다.   시장 내 안전자산 선호 심리가 강화되는 신호로 해석됩니다. 금리 하락은 기술주에 우호적인 환경이나, 국내 반도체 종목은 미 기술주 약세와 동조화하며 동반 하락하고 있습니다. 금리 변동이 국내 증시 전체의 상승 동력으로 연결되지는 못하는 상황입니다."
SMP 계통한계가격,150.56,원/kWh,,"SMP(계통한계가격)는 전력시장에서 가장 비싸게 거래된 발전기의 연료비입니다. 150.56원/kWh은 전력 도매가격의 기준점으로서 발전 사업자의 수익성을 결정합니다. 오늘 반도체주 하락에 따른 시장 분위기와 무관하게, SMP 수치는 국내 전력 공급 단가가 안정적임을 나타냅니다."
