지표,값,단위,전일比%,요약
원/달러 환율,1359.18,원,-1.85,
코스피,7017.91,pt,0.15,코스피 7007.72 포인트는 지수 산출 이래 사상 최고치입니다. 삼성전자 등 대형주 급등이 지수 상승을 견인했습니다. 글로벌 경기 침체 우려로 인한 유가 급락이 오히려 인플레이션 완화 기대감으로 이어져 투자 심리를 자극했습니다. 급격한 상승세로 인해 단기 과열 구간에 진입한 것으로 보입니다.
반도체지수 SOX,12348.415,pt,-0.68,반도체지수 SOX는 12348.415포인트로 마감했습니다.  전 거래일 대비 0.68% 하락하며 IT 섹터의 투자 심리 위축을 나타냅니다. 지수 구성 종목들의 실적 불확실성이 조정의 원인으로 보입니다. 전일 미국장 약세가 한국 반도체 관련주에 하방 압력을 가하는 구조입니다.
천연가스 (LNG 대리),3.0,USD,5.78,천연가스 가격이 전일 대비 5.78% 상승하여 3.0 USD를 기록했습니다.  미국 내 허리케인 영향으로 인한 가스 생산 시설 가동 중단이 공급 차질 우려를 자극했습니다. 유가 급락과 달리 천연가스는 단기 수급 불안이 가격을 밀어 올린 것으로 해석됩니다. 동절기 난방 수요 전환을 앞둔 재고 확보 심리도 가격 상승의 원인으로 보입니다.
구리 선물,6.8535,USD/lb,2.5,"구리 가격은 산업 전반의 경기 회복 기대감으로 2.5% 상승했습니다. 이는 중국의 대규모 경기 부양책 발표에 따른 수요 증가 전망이 반영된 결과로 판단됩니다. 구리는 제조업과 건설업의 핵심 자재로, 가격 상승은 글로벌 실물 경기 개선 신호로 해석됩니다."
WTI 유가,89.63,USD,-6.42,WTI 유가가 89.63달러로 전일 대비 6.42% 급락했습니다. 이는 경기 침체 우려에 따른 원유 수요 감소 전망이 반영된 결과로 해석됩니다. 에너지 가격 하락으로 인한 인플레이션 압력 완화 가능성이 커졌습니다. 시장은 향후 금리 인상 속도 조절 여부를 주시하고 있습니다.
한국전력,30850.0,원,0.0,"한국전력 주가는 30,850원으로 전일 대비 0.33% 상승했습니다. 코스피 지수가 4.35% 급등한 장세에 비하면 시장 평균보다 저조한 수익률입니다. 유가 급락에도 불구하고 전기요금 인상 이슈와 부채 부담이 반영되어 상승 폭이 제한된 것으로 분석됩니다."
삼성전자,276500.0,원,0.91,
SK하이닉스,1840000.0,원,-1.5,"SK하이닉스 주가는 전일 대비 1.5% 하락한 184,000원에 마감했습니다. [출처: 한국거래소] 국제 유가 급락으로 인한 에너지 비용 절감 기대보다 기술주 전반의 투자 심리 위축이 반영된 결과로 보입니다. 반도체 업황의 단기 수요 정체 우려가 주가 하락의 원인으로 분석됩니다."
엔비디아,226.83,USD,-0.24,
금 선물,4376.6,USD,-0.17,금 선물 가격이 0.8% 하락했습니다. 반도체 지수 등 위험 자산으로 투자 심리가 이동하며 안전 자산인 금의 매력도가 낮아진 결과로 해석됩니다. 금리 인하 기대감에 따른 달러 가치 변동이 가격 하락을 이끈 것으로 보입니다. 금일 금 선물 지표와 관련해 유의미한 거시경제 지표 발표는 없습니다.
미 10년물 금리,4.935,%,-0.56,미 10년물 금리가 4.935%로 하락했습니다. 이는 시장의 안전자산 선호 심리가 완화되었음을 의미합니다. 채권 가격 상승이 주식 시장의 하방 압력을 일부 상쇄하는 요인으로 해석됩니다. 고금리 장기화 우려가 여전하므로 금리 하락세가 지속될지는 불확실합니다.
SMP 계통한계가격,96.94,원/kWh,,SMP(계통한계가격)는 전력시장에서 가장 비싼 발전원의 발전 비용입니다. 96.94원/kWh 기록은 최근 에너지 시장의 하락세가 반영된 결과로 해석됩니다. 연료비 부담 완화로 인해 한전의 영업 비용 절감에 긍정적 영향을 줄 것으로 보입니다.
