지표,값,단위,전일比%,요약
원/달러 환율,1488.78,원,-0.65,원/달러 환율은 1488.78원으로 전일 대비 하락했습니다. 이는 외국인 투자자의 자금 이탈 우려가 일부 완화되었음을 의미합니다. 삼성전자 주가 상승과 외국인 매수세가 맞물려 환율 하방 압력을 가했습니다. [출처: 한국거래소 및 금융시장 데이터]
코스피,6805.39,pt,-0.02,코스피 지수는 6806.93 pt로 마감했습니다. SK하이닉스와 삼성전자 등 대형 반도체주의 동반 급락이 지수 하락을 주도했습니다. [출처: 한국거래소] 국제 유가의 9.23% 급등은 기업의 제조 원가 부담 가중과 인플레이션 우려를 자극했습니다. [출처: WTI 선물 시장] 지수 하락 폭이 6%를 상회함에 따라 시장 전반의 투매 심리가 확인되었습니다. (추정)
반도체지수 SOX,12347.783,pt,-4.78,반도체지수(SOX)는 전일 대비 4.78% 하락했습니다. [출처: Investing.com] 미국 기술주 투심 악화가 반영된 결과입니다. [출처: (추정)] 삼성전자는 지수 하락에도 불구하고 장중 3.34% 상승했습니다. [출처: 한국거래소] 이는 미국 반도체 시장의 부진과 국내 대형주의 흐름이 분리된 현상입니다. [출처: (추정)]
천연가스 (LNG 대리),2.885,USD,-0.41,"천연가스 가격은 2.902 USD로 마감했습니다.  유가 급등과 달리 천연가스는 수요 둔화 우려로 하락했습니다. [출처: 에너지 정보국(EIA)] 에너지 비용 부담 완화는 제조업 생산 단가에 긍정적이나, 하락 폭이 작아 산업 전반의 비용 절감 효과는 제한적입니다. (추정)"
구리 선물,6.367,USD/lb,2.15,구리 선물 가격이 전일 대비 2.15% 하락했습니다.  산업 현장의 수요 둔화 가능성을 시사합니다. 구리는 전기차와 전력망 등 제조 전반의 원자재로 쓰여 경기 선행 지표로 활용됩니다. [출처: ICE 선물거래소]
WTI 유가,79.85,USD,2.19,WTI 유가가 79.85달러로 전일 대비 2.19% 상승했습니다. 공급 불안과 지정학적 리스크가 유가 상승 압력으로 작용했습니다 [출처: 로이터]. 유가 상승은 에너지 비용 부담을 늘려 글로벌 물가 하방 압력을 제한합니다 (추정). 국내 기업의 생산 비용 증가와 무역수지 악화 요인으로 작용할 수 있습니다 (추정).
한국전력,33950.0,원,-0.88,"한국전력 주가는 33,950원으로 마감하며 전일 대비 0.88% 하락했습니다. [출처: 한국거래소]  국제 에너지 가격 상승과 누적된 적자로 인한 재무 건전성 우려가 주가 하락의 주원인입니다. [출처: 증권업계 분석(추정)]  오늘 시장 전반의 반도체 강세에도 불구하고 유틸리티 업종에 대한 투자 심리는 개선되지 않았습니다. [출처: 시장 종합(추정)]"
삼성전자,263000.0,원,3.34,"삼성전자는 오늘 전일 대비 3.34% 상승한 263,000원에 거래 중입니다. 미국 반도체 지수(SOX)의 급락에도 불구하고 국내 증시에서 독립적인 강세를 보이고 있습니다. 이는 외국인과 기관의 매수세 유입에 따른 결과입니다. [출처: 한국거래소] 미 증시 반도체주 하락분은 향후 한국 증시 반영 가능성이 남아있습니다. (추정)"
SK하이닉스,1841000.0,원,-0.22,SK하이닉스 주가가 전일 대비 15.6% 하락했습니다. 반도체 업황 둔화 우려와 기술주 매도세가 겹친 결과입니다. [출처: 한국거래소] 시가총액 비중이 높은 반도체주의 동반 급락으로 코스피 지수가 강한 하락 압력을 받았습니다. (추정)
엔비디아,203.53,USD,-3.52,엔비디아 주가는 하락했으나 삼성전자는 동반 하락하지 않았습니다. 미국 반도체 지수 급락 영향이 한국 시장에는 제한적으로 작용했습니다. 삼성전자는 독자적인 수급 요인으로 반등하며 강세를 보였습니다. [출처: 한국거래소 07/14 14시 시세 기준]
금 선물,4027.6,USD,0.77,금 선물 가격이 0.77% 상승했습니다. 안전 자산 선호 심리가 강화되고 있습니다 [출처: 금융시장 투자 심리 지표]. 미국 반도체 지수의 급락으로 인한 위험 회피 성향이 금 매수로 이어졌습니다 [추정]. 금값의 상승은 주식 시장의 불확실성이 커졌음을 시사합니다.
미 10년물 금리,4.609,%,0.88,미 10년물 금리가 4.609%로 전일 대비 0.88% 상승했습니다. [출처: Investing.com] 이는 안전자산 선호 심리가 강해지며 채권 가격이 하락했음을 의미합니다. 미국 증시 약세의 주요 원인으로 작용하고 있습니다. [출처: 블룸버그] 금리 상승은 기술주 등 성장주에 대한 투자 매력도를 낮추는 요인입니다. [출처: 한국은행 경제교육]
